UF;COD. UF;COD. MUNIC;MUNICIPIO;POPULAÇÃO ESTIMADA
GO;52;50;Abadia de Goiás;9158
MG;31;104;Abadia dos Dourados;7022
GO;52;100;Abadiânia;20873
MG;31;203;Abaete;23263
PA;15;107;Abaetetuba;160439
CE;23;101;Abaiara;11965
BA;29;108;Abaíra;8681
BA;29;207;Abaré;20594
PR;41;103;Abatiá;7360
SC;42;51;Abdon Batista;2534
PA;15;131;Abel Figueiredo;7536
SC;42;101;Abelardo Luz;18015
MG;31;302;Abre Campo;13434
PE;26;54;Abreu e Lima;100698
TO;17;251;Abreulândia;2609
MG;31;401;Acaiaca;3995
MA;21;55;Açailândia;113783
BA;29;306;Acajutiba;15214
PA;15;206;Acará;55744
CE;23;150;Acarape;15140
CE;23;200;Acaraú;63556
RN;24;109;Acari;11106
PI;22;53;Acauã;7119
RS;43;34;Aceguá;4981
CE;23;309;Acopiara;54687
MT;51;102;Acorizal;5309
AC;12;13;Acrelândia;15721
GO;52;134;Acreúna;22710
RN;24;208;Açu;58743
MG;31;500;Açucena;9270
SP;35;105;Adamantina;35153
GO;52;159;Adelândia;2515
SP;35;204;Adolfo;3545
PR;41;202;Adrianópolis;5797
BA;29;355;Adustina;17209
PE;26;104;Afogados da Ingazeira;37546
RN;24;307;Afonso Bezerra;11024
ES;32;102;Afonso Cláudio;30326
MA;21;105;Afonso Cunha;6631
PE;26;203;Afrânio;19981
PA;15;305;Afuá;39910
PE;26;302;Agrestina;25240
PI;22;103;Agricolândia;5123
SC;42;200;Agrolândia;11160
SC;42;309;Agronômica;5570
PA;15;347;Água Azul do Norte;27797
MG;31;609;Água Boa;13319
MT;51;201;Água Boa;26679
AL;27;102;Água Branca;20263
PB;25;106;Água Branca;10375
PI;22;202;Água Branca;17525
MS;50;203;Água Clara;16025
MG;31;708;Água Comprida;1986
SC;42;408;Água Doce;7160
MA;21;154;Água Doce do Maranhão;12731
ES;32;169;Água Doce do Norte;10801
BA;29;405;Água Fria;17096
GO;52;175;Água Fria de Goiás;5843
GO;52;209;Água Limpa;1809
RN;24;406;Água Nova;3293
PE;26;401;Água Preta;37386
RS;43;59;Água Santa;3738
SP;35;303;Aguaí;36981
MG;31;807;Aguanil;4557
PE;26;500;Águas Belas;43923
SP;35;402;Águas da Prata;8262
SC;42;507;Águas de Chapecó;6544
SP;35;501;Águas de Lindóia;18908
SP;35;550;Águas de Santa Bárbara;6142
SP;35;600;Águas de São Pedro;3588
MG;31;906;Águas Formosas;19285
SC;42;556;Águas Frias;2341
GO;52;258;Águas Lindas de Goiás;222850
SC;42;606;Águas Mornas;6646
MG;31;1003;Águas Vermelhas;13656
RS;43;109;Agudo;16344
SP;35;709;Agudos;37582
PR;41;301;Agudos do Sul;9567
ES;32;136;Águia Branca;9621
PB;25;205;Aguiar;5622
TO;17;301;Aguiarnópolis;7049
MG;31;1102;Aimorés;25116
BA;29;603;Aiquara;4387
CE;23;408;Aiuaba;17584
MG;31;1201;Aiuruoca;5949
RS;43;208;Ajuricaba;6951
MG;31;1300;Alagoa;2657
PB;25;304;Alagoa Grande;28384
PB;25;403;Alagoa Nova;20992
PB;25;502;Alagoinha;14629
PE;26;609;Alagoinha;14798
PI;22;251;Alagoinha do Piauí;7678
BA;29;702;Alagoinhas;153023
SP;35;758;Alambari;6231
MG;31;1409;Albertina;3015
MA;21;204;Alcântara;22126
CE;23;507;Alcântaras;11846
PB;25;536;Alcantil;5527
MS;50;252;Alcinópolis;5489
BA;29;801;Alcobaça;22509
MA;21;303;Aldeias Altas;26979
RS;43;307;Alecrim;5710
ES;32;201;Alegre;29869
RS;43;406;Alegrete;72493
PI;22;277;Alegrete do Piauí;4921
RS;43;455;Alegria;3287
MG;31;1508;Além Paraíba;35438
PA;15;404;Alenquer;57390
RN;24;505;Alexandria;13529
GO;52;308;Alexânia;28360
MG;31;1607;Alfenas;80973
ES;32;300;Alfredo Chaves;14670
SP;35;808;Alfredo Marcondes;4201
MG;31;1631;Alfredo Vasconcelos;7052
SC;42;705;Alfredo Wagner;10136
PB;25;577;Algodão de Jandaíra;2588
PB;25;601;Alhandra;19865
PE;26;708;Aliança;38408
TO;17;350;Aliança do Tocantins;5303
BA;29;900;Almadina;5273
TO;17;400;Almas;6905
PA;15;503;Almeirim;34044
MG;31;1706;Almenara;42380
RN;24;604;Almino Afonso;4685
PR;41;400;Almirante Tamandaré;121420
RS;43;471;Almirante Tamandaré do Sul;1935
GO;52;506;Aloândia;1976
MG;31;1805;Alpercata;7448
RS;43;505;Alpestre;5885
MG;31;1904;Alpinópolis;20059
MT;51;250;Alta Floresta;52105
RO;11;15;Alta Floresta D'Oeste;22516
SP;35;907;Altair;4211
PA;15;602;Altamira;117320
MA;21;402;Altamira do Maranhão;8250
PR;41;459;Altamira do Paraná;1429
CE;23;606;Altaneira;7712
MG;31;2001;Alterosa;14566
PE;26;807;Altinho;22996
SP;35;1004;Altinópolis;16221
RR;14;50;Alto Alegre;15249
RS;43;554;Alto Alegre;1590
SP;35;1103;Alto Alegre;4078
MA;21;436;Alto Alegre do Maranhão;28066
MA;21;477;Alto Alegre do Pindaré;31967
RO;11;379;Alto Alegre dos Parecis;13268
MT;51;300;Alto Araguaia;19714
SC;42;754;Alto Bela Vista;1915
MT;51;359;Alto Boa Vista;7092
MG;31;2050;Alto Caparaó;5938
RN;24;703;Alto do Rodrigues;14923
RS;43;570;Alto Feliz;3043
MT;51;409;Alto Garças;12323
GO;52;555;Alto Horizonte;6796
MG;31;53509;Alto Jequitibá;8286
PI;22;301;Alto Longá;14371
MT;51;508;Alto Paraguai;11587
PR;41;28625;Alto Paraíso;2630
RO;11;403;Alto Paraíso;22258
GO;52;605;Alto Paraíso de Goiás;7751
PR;41;608;Alto Paraná;14945
MA;21;501;Alto Parnaíba;11233
PR;41;707;Alto Piquiri;9722
MG;31;2100;Alto Rio Doce;10723
ES;32;359;Alto Rio Novo;7911
CE;23;705;Alto Santo;16077
MT;51;607;Alto Taquari;11413
PR;41;509;Altônia;22293
PI;22;400;Altos;40681
SP;35;1152;Alumínio;18903
AM;13;29;Alvarães;16396
MG;31;2209;Alvarenga;3783
SP;35;1202;Álvares Florence;3616
SP;35;1301;Álvares Machado;25078
SP;35;1400;Álvaro de Carvalho;5320
SP;35;1509;Alvinlândia;3251
MG;31;2308;Alvinópolis;15135
RS;43;604;Alvorada;212352
TO;17;707;Alvorada;8381
MG;31;2407;Alvorada de Minas;3605
PI;22;459;Alvorada do Gurguéia;5469
GO;52;803;Alvorada do Norte;8749
PR;41;806;Alvorada do Sul;11598
RO;11;346;Alvorada D'Oeste;13807
RR;14;27;Amajari;13561
MS;50;609;Amambai;40247
AP;16;105;Amapá;9265
MA;21;550;Amapá do Maranhão;7047
PR;41;905;Amaporã;6405
PE;26;906;Amaraji;22910
RS;43;638;Amaral Ferrador;7136
GO;52;829;Amaralina;3875
PI;22;509;Amarante;17609
MA;21;600;Amarante do Maranhão;42017
BA;29;1007;Amargosa;37631
AM;13;60;Amaturá;11934
BA;29;1106;Amélia Rodrigues;24997
BA;29;1155;América Dourada;16086
SP;35;1608;Americana;244370
GO;52;852;Americano do Brasil;6220
SP;35;1707;Américo Brasiliense;41545
SP;35;1806;Américo de Campos;5993
RS;43;646;Ametista do Sul;7396
CE;23;754;Amontada;44195
GO;52;902;Amorinópolis;3011
PB;25;734;Amparo;2264
SP;35;1905;Amparo;73145
SE;28;100;Amparo do São Francisco;2386
MG;31;2506;Amparo do Serra;4643
PR;41;1002;Ampére;19466
AL;27;201;Anadia;17507
BA;29;1205;Anagé;21229
PR;41;1051;Anahy;2774
PA;15;701;Anajás;30091
MA;21;709;Anajatuba;27170
SP;35;2002;Analândia;5115
AM;13;86;Anamã;14292
TO;17;1002;Ananás;9435
PA;15;800;Ananindeua;540410
GO;52;1108;Anápolis;396526
PA;15;859;Anapu;29312
MA;21;808;Anapurus;16054
MS;50;708;Anastácio;25336
MS;50;807;Anaurilândia;9116
ES;32;409;Anchieta;30285
SC;42;804;Anchieta;5477
BA;29;1304;Andaraí;13122
PR;41;1101;Andirá;19823
BA;29;1353;Andorinha;14416
MG;31;2605;Andradas;41704
SP;35;2101;Andradina;57245
RS;43;661;André da Rocha;1351
MG;31;2803;Andrelândia;12189
SP;35;2200;Angatuba;25724
MG;31;2852;Angelândia;8594
MS;50;856;Angélica;11081
PE;26;1003;Angelim;11301
SC;42;903;Angelina;4686
BA;29;1403;Angical;13902
PI;22;608;Angical do Piauí;6779
TO;17;1051;Angico;3475
RN;24;802;Angicos;11695
RJ;33;100;Angra dos Reis;210171
BA;29;1502;Anguera;11369
PR;41;1150;Ângulo;2931
GO;52;1207;Anhanguera;1171
SP;35;2309;Anhembi;6911
SP;35;2408;Anhumas;4172
GO;52;1306;Anicuns;22113
PI;22;707;Anísio de Abreu;9994
SC;42;1000;Anita Garibaldi;6783
SC;42;1109;Anitápolis;3223
AM;13;102;Anori;21937
RS;43;703;Anta Gorda;5941
BA;29;1601;Antas;19659
PR;41;1200;Antonina;18919
CE;23;804;Antonina do Norte;7402
PI;22;806;Antônio Almeida;3175
BA;29;1700;Antônio Cardoso;11670
MG;31;2902;Antônio Carlos;11471
SC;42;1208;Antônio Carlos;8712
MG;31;3009;Antônio Dias;9233
BA;29;1809;Antônio Gonçalves;11955
MS;50;906;Antônio João;9082
RN;24;901;Antônio Martins;7162
PR;41;1309;Antônio Olinto;7421
RS;43;802;Antônio Prado;13041
MG;31;3108;Antônio Prado de Minas;1577
PB;25;775;Aparecida;8482
SP;35;2507;Aparecida;36211
GO;52;1405;Aparecida de Goiânia;601844
GO;52;1454;Aparecida do Rio Doce;2474
TO;17;1101;Aparecida do Rio Negro;4901
MS;50;1003;Aparecida do Taboado;26386
SP;35;2606;Aparecida d'Oeste;4122
RJ;33;159;Aperibé;12036
ES;32;508;Apiacá;7542
MT;51;805;Apiacás;10431
SP;35;2705;Apiaí;24081
MA;21;832;Apicum-Açu;17582
SC;42;1257;Apiúna;10951
RN;24;1008;Apodi;35904
BA;29;1908;Aporá;17840
GO;52;1504;Aporé;4266
BA;29;1957;Apuarema;7274
PR;41;1408;Apucarana;137438
AM;13;144;Apuí;22739
CE;23;903;Apuiarés;14742
SE;28;209;Aquidabã;21796
MS;50;1102;Aquidauana;48184
CE;23;1000;Aquiraz;81581
SC;42;1273;Arabutã;4268
PB;25;809;Araçagi;16857
MG;31;3207;Araçaí;2360
SE;28;308;Aracaju;672614
SP;35;2754;Araçariguama;23343
BA;29;2054;Araçás;12237
CE;23;1109;Aracati;75392
BA;29;2005;Aracatu;12960
SP;35;2804;Araçatuba;199210
BA;29;2104;Araci;54903
MG;31;3306;Aracitaba;2056
CE;23;1208;Aracoiaba;26600
PE;26;1052;Araçoiaba;20936
SP;35;2903;Araçoiaba da Serra;35389
ES;32;607;Aracruz;104942
GO;52;1603;Araçu;3450
MG;31;3405;Araçuaí;36715
GO;52;1702;Aragarças;20410
GO;52;1801;Aragoiânia;10680
TO;17;1309;Aragominas;5705
TO;17;1903;Araguacema;7223
TO;17;2000;Araguaçu;8418
MT;51;1001;Araguaiana;3064
TO;17;2109;Araguaína;186245
MT;51;1209;Araguainha;909
MA;21;873;Araguanã;15675
TO;17;2158;Araguanã;5856
GO;52;2155;Araguapaz;7795
MG;31;3504;Araguari;118361
TO;17;2208;Araguatins;36573
MA;21;907;Araioses;47095
MS;50;1243;Aral Moreira;12511
BA;29;2203;Aramari;11519
RS;43;851;Arambaré;3544
MA;21;956;Arame;32825
SP;35;3000;Aramina;5689
SP;35;3109;Arandu;6373
MG;31;3603;Arantina;2779
SP;35;3158;Arapeí;2452
AL;27;300;Arapiraca;234309
TO;17;2307;Arapoema;6590
MG;31;3702;Araponga;8467
PR;41;1507;Arapongas;126545
MG;31;3751;Araporã;6992
PR;41;1606;Arapoti;28480
MG;31;3801;Arapuá;2836
PR;41;1655;Arapuã;2951
MT;51;1258;Araputanga;17078
SC;42;1307;Araquari;40890
PB;25;908;Arara;13613
SC;42;1406;Araranguá;69493
SP;35;3208;Araraquara;240542
SP;35;3307;Araras;136739
CE;23;1257;Ararendá;10983
MA;21;1004;Arari;30014
RS;43;877;Araricá;5840
CE;23;1307;Araripe;21707
PE;26;1102;Araripina;85301
RJ;33;209;Araruama;136109
PB;25;1005;Araruna;20610
PR;41;1705;Araruna;14029
BA;29;2252;Arataca;10904
RS;43;901;Aratiba;6145
CE;23;1406;Aratuba;11759
BA;29;2302;Aratuípe;8848
SE;28;407;Arauá;9840
PR;41;1804;Araucária;148522
MG;31;3900;Araújos;9523
MG;31;4007;Araxá;108403
MG;31;4106;Arceburgo;10990
SP;35;3356;Arco-Íris;1755
MG;31;4205;Arcos;40658
PE;26;1201;Arcoverde;75295
MG;31;4304;Areado;15288
RJ;33;225;Areal;12763
SP;35;3406;Arealva;8665
PB;25;1104;Areia;22493
RN;24;1107;Areia Branca;28156
SE;28;506;Areia Branca;18825
PB;25;1153;Areia de Baraúnas;2105
PB;25;1203;Areial;7054
SP;35;3505;Areias;3906
SP;35;3604;Areiópolis;11186
MT;51;1308;Arenápolis;9399
GO;52;2353;Arenópolis;2462
RN;24;1206;Arês;14526
MG;31;4403;Argirita;2681
MG;31;4452;Aricanduva;5305
MG;31;4502;Arinos;17850
MT;51;1407;Aripuanã;23067
RO;11;23;Ariquemes;111148
SP;35;3703;Ariranha;9851
PR;41;1853;Ariranha do Ivaí;2026
RJ;33;233;Armação dos Búzios;35060
SC;42;1505;Armazém;8843
CE;23;1505;Arneiroz;7848
PI;22;905;Aroazes;5819
PB;25;1302;Aroeiras;19081
PI;22;954;Aroeiras do Itaim;2551
PI;22;1002;Arraial;4713
RJ;33;258;Arraial do Cabo;30827
TO;17;2406;Arraias;10502
RS;43;1008;Arroio do Meio;21121
RS;43;1073;Arroio do Padre;2966
RS;43;1057;Arroio do Sal;10483
RS;43;1206;Arroio do Tigre;13452
RS;43;1107;Arroio dos Ratos;14201
RS;43;1305;Arroio Grande;18185
SC;42;1604;Arroio Trinta;3547
SP;35;3802;Artur Nogueira;56247
GO;52;2502;Aruanã;10340
SP;35;3901;Arujá;92453
SC;42;1653;Arvoredo;2228
RS;43;1404;Arvorezinha;10422
SC;42;1703;Ascurra;8021
SP;35;3950;Aspásia;1815
PR;41;1903;Assaí;14792
CE;23;1604;Assaré;23537
SP;35;4008;Assis;105768
AC;12;54;Assis Brasil;7649
PR;41;2000;Assis Chateaubriand;33306
PB;25;1351;Assunção;4067
PI;22;1051;Assunção do Piauí;7879
MG;31;4601;Astolfo Dutra;14358
PR;41;2109;Astorga;26304
AL;27;409;Atalaia;47540
PR;41;2208;Atalaia;3871
AM;13;201;Atalaia do Norte;20868
SC;42;1802;Atalanta;3179
MG;31;4700;Ataléia;12496
SP;35;4107;Atibaia;145378
ES;32;706;Atílio Vivácqua;12270
TO;17;2554;Augustinópolis;18870
PA;15;909;Augusto Corrêa;46937
MG;31;4809;Augusto de Lima;4833
RS;43;1503;Augusto Pestana;6545
RS;43;1552;Áurea;3517
BA;29;2401;Aurelino Leal;11079
SP;35;4206;Auriflama;15316
GO;52;2601;Aurilândia;3000
CE;23;1703;Aurora;24567
SC;42;1901;Aurora;5687
PA;15;958;Aurora do Pará;32200
TO;17;2703;Aurora do Tocantins;3809
AM;13;300;Autazes;41005
SP;35;4305;Avaí;5467
SP;35;4404;Avanhandava;14063
SP;35;4503;Avaré;91792
PA;15;1006;Aveiro;16421
PI;22;1101;Avelino Lopes;11361
GO;52;2809;Avelinópolis;2401
MA;21;1103;Axixá;12234
TO;17;2901;Axixá do Tocantins;9817
TO;17;3008;Babaçulândia;10668
MA;21;1202;Bacabal;105094
MA;21;1251;Bacabeira;17446
MA;21;1301;Bacuri;18726
MA;21;1350;Bacurituba;5696
SP;35;4602;Bady Bassitt;18013
MG;31;4908;Baependi;19249
RS;43;1602;Bagé;121518
PA;15;1105;Bagre;31967
PB;25;1401;Baía da Traição;9197
RN;24;1404;Baía Formosa;9373
BA;29;2500;Baianópolis;13979
PA;15;1204;Baião;49454
BA;29;2609;Baixa Grande;20431
PI;22;1150;Baixa Grande do Ribeiro;11751
CE;23;1802;Baixio;6318
ES;32;805;Baixo Guandu;31263
SP;35;4701;Balbinos;6127
MG;31;5004;Baldim;7780
GO;52;3104;Baliza;5418
SC;42;1950;Balneário Arroio do Silva;13782
SC;42;2057;Balneário Barra do Sul;11271
SC;42;2008;Balneário Camboriú;149227
SC;42;2073;Balneário Gaivota;11537
SC;42;12809;Balneário Piçarras;24385
RS;43;1636;Balneário Pinhal;14645
SC;42;20000;Balneário Rincão;13129
PR;41;2307;Balsa Nova;13238
SP;35;4800;Bálsamo;9209
MA;21;1400;Balsas;96951
MG;31;5103;Bambuí;23964
CE;23;1851;Banabuiú;18313
SP;35;4909;Bananal;11039
PB;25;1500;Bananeiras;21220
MG;31;5202;Bandeira;4738
MG;31;5301;Bandeira do Sul;5808
SC;42;2081;Bandeirante;2618
MS;50;1508;Bandeirantes;7281
PR;41;2406;Bandeirantes;31061
TO;17;3057;Bandeirantes do Tocantins;3631
PA;15;1253;Bannach;3239
BA;29;2658;Banzaê;13251
RS;43;1651;Barão;6232
SP;35;5005;Barão de Antonina;3525
MG;31;5400;Barão de Cocais;33232
RS;43;1701;Barão de Cotegipe;6616
MA;21;1509;Barão de Grajaú;19026
MT;51;1605;Barão de Melgaço;8165
MG;31;5509;Barão de Monte Alto;5311
RS;43;1750;Barão do Triunfo;7550
PB;25;1534;Baraúna;5033
RN;24;1453;Baraúna;29112
MG;31;5608;Barbacena;139061
CE;23;1901;Barbalha;61662
SP;35;5104;Barbosa;7532
PR;41;2505;Barbosa Ferraz;11287
PA;15;1303;Barcarena;129333
RN;24;1503;Barcelona;3989
AM;13;409;Barcelos;27772
SP;35;5203;Bariri;35844
BA;29;2708;Barra;54225
SC;42;2099;Barra Bonita;1625
SP;35;5302;Barra Bonita;36125
BA;29;2807;Barra da Estiva;20198
PI;22;1176;Barra D'Alcântara;3953
PE;26;1300;Barra de Guabiraba;14632
PB;25;1609;Barra de Santa Rosa;15607
PB;25;1575;Barra de Santana;8338
AL;27;508;Barra de Santo Antônio;16201
ES;32;904;Barra de São Francisco;45301
AL;27;607;Barra de São Miguel;8434
PB;25;1708;Barra de São Miguel;6095
MT;51;1704;Barra do Bugres;35642
SP;35;5351;Barra do Chapéu;5794
BA;29;2906;Barra do Choça;30831
MA;21;1608;Barra do Corda;88895
MT;51;1803;Barra do Garças;61702
RS;43;1859;Barra do Guarita;3266
PR;41;2703;Barra do Jacaré;2781
BA;29;3003;Barra do Mendes;13128
TO;17;3073;Barra do Ouro;4673
RJ;33;308;Barra do Piraí;101139
RS;43;1875;Barra do Quaraí;4238
RS;43;1909;Barra do Ribeiro;13618
RS;43;1925;Barra do Rio Azul;1621
BA;29;3102;Barra do Rocha;5515
SP;35;5401;Barra do Turvo;7606
SE;28;605;Barra dos Coqueiros;31439
RS;43;1958;Barra Funda;2563
MG;31;5707;Barra Longa;4905
RJ;33;407;Barra Mansa;185237
SC;42;2107;Barra Velha;30539
PR;41;2604;Barracão;10347
RS;43;1800;Barracão;5237
PI;22;1200;Barras;47298
CE;23;1950;Barreira;22715
BA;29;3201;Barreiras;158432
PI;22;1309;Barreiras do Piauí;3356
AM;13;508;Barreirinha;32919
MA;21;1707;Barreirinhas;63891
PE;26;1409;Barreiros;42866
SP;35;5500;Barretos;123546
SP;35;5609;Barrinha;33537
CE;23;2008;Barro;22834
BA;29;3235;Barro Alto;15171
GO;52;3203;Barro Alto;11643
PI;22;1408;Barro Duro;7022
BA;29;3300;Barro Preto;5312
BA;29;3276;Barrocas;16225
TO;17;3107;Barrolândia;5669
CE;23;2057;Barroquinha;15069
RS;43;2006;Barros Cassal;11167
MG;31;5905;Barroso;20981
SP;35;5708;Barueri;279704
SP;35;5807;Bastos;20952
MS;50;1904;Bataguassu;23620
AL;27;706;Batalha;18440
PI;22;1507;Batalha;26951
SP;35;5906;Batatais;63438
MS;50;2001;Batayporã;11368
CE;23;2107;Baturité;36127
SP;35;6003;Bauru;381706
PB;25;1807;Bayeux;97519
SP;35;6102;Bebedouro;77612
CE;23;2206;Beberibe;54315
CE;23;2305;Bela Cruz;32851
MS;50;2100;Bela Vista;24842
PR;41;2752;Bela Vista da Caroba;3404
GO;52;3302;Bela Vista de Goiás;31004
MG;31;6002;Bela Vista de Minas;10269
MA;21;1772;Bela Vista do Maranhão;11347
PR;41;2802;Bela Vista do Paraíso;15400
PI;22;1556;Bela Vista do Piauí;4044
SC;42;2131;Bela Vista do Toldo;6386
MA;21;1731;Belágua;7586
AL;27;805;Belém;4226
PA;15;1402;Belém;1506420
PB;25;1906;Belém;17733
PE;26;1508;Belém de Maria;12169
PB;25;2003;Belém do Brejo do Cruz;7356
PI;22;1572;Belém do Piauí;3607
PE;26;1607;Belém do São Francisco;20730
RJ;33;456;Belford Roxo;515239
MG;31;6101;Belmiro Braga;3422
BA;29;3409;Belmonte;23540
SC;42;2156;Belmonte;2712
BA;29;3508;Belo Campo;17013
MG;31;6200;Belo Horizonte;2530701
PE;26;1706;Belo Jardim;76930
AL;27;904;Belo Monte;6717
MG;31;6309;Belo Oriente;27277
MG;31;6408;Belo Vale;7723
PA;15;1451;Belterra;17944
PI;22;1606;Beneditinos;10479
MA;21;1806;Benedito Leite;5643
SC;42;2206;Benedito Novo;11896
PA;15;1501;Benevides;64780
AM;13;607;Benjamin Constant;44873
RS;43;2055;Benjamin Constant do Sul;1924
SP;35;6201;Bento de Abreu;3028
RN;24;1602;Bento Fernandes;5552
RS;43;2105;Bento Gonçalves;123090
MA;21;1905;Bequimão;21317
MG;31;6507;Berilo;11813
MG;31;6655;Berizal;4792
PB;25;2052;Bernardino Batista;3571
SP;35;6300;Bernardino de Campos;11168
MA;21;1939;Bernardo do Mearim;6102
TO;17;3206;Bernardo Sayão;4439
SP;35;6359;Bertioga;66154
PI;22;1705;Bertolínia;5512
MG;31;6606;Bertópolis;4609
AM;13;631;Beruri;20503
PE;26;1805;Betânia;12811
PI;22;1739;Betânia do Piauí;6214
MG;31;6705;Betim;450024
PE;26;1904;Bezerros;60960
MG;31;6804;Bias Fortes;3282
MG;31;6903;Bicas;14612
SC;42;2305;Biguaçu;70471
SP;35;6409;Bilac;8197
MG;31;7000;Biquinhas;2482
SP;35;6508;Birigui;126094
SP;35;6607;Biritiba Mirim;33265
BA;29;3607;Biritinga;15989
PR;41;2901;Bituruna;16411
SC;42;2404;Blumenau;366418
ES;32;1001;Boa Esperança;15146
MG;31;7109;Boa Esperança;40308
PR;41;3008;Boa Esperança;3991
PR;41;3024;Boa Esperança do Iguaçu;2437
SP;35;6706;Boa Esperança do Sul;15111
PI;22;1770;Boa Hora;6848
BA;29;3706;Boa Nova;12039
RN;24;5306;Boa Saúde;10367
PB;25;2102;Boa Ventura;5248
PR;41;3040;Boa Ventura de São Roque;6343
CE;23;2404;Boa Viagem;54680
PB;25;2151;Boa Vista;7218
RR;14;100;Boa Vista;436591
PR;41;3057;Boa Vista da Aparecida;7524
RS;43;2154;Boa Vista das Missões;2087
RS;43;2204;Boa Vista do Buricá;6712
RS;43;2220;Boa Vista do Cadeado;2466
MA;21;1970;Boa Vista do Gurupi;8494
RS;43;2238;Boa Vista do Incra;2628
AM;13;680;Boa Vista do Ramos;20040
RS;43;2253;Boa Vista do Sul;2773
BA;29;3805;Boa Vista do Tupim;18491
AL;27;1001;Boca da Mata;27429
AM;13;706;Boca do Acre;34958
PI;22;1804;Bocaina;4509
SP;35;6805;Bocaina;12571
MG;31;7208;Bocaina de Minas;5088
SC;42;2438;Bocaina do Sul;3501
MG;31;7307;Bocaiúva;50521
PR;41;3107;Bocaiúva do Sul;13308
RN;24;1651;Bodó;2171
PE;26;2001;Bodocó;38605
MS;50;2159;Bodoquena;7802
SP;35;6904;Bofete;12107
SP;35;7001;Boituva;63310
PE;26;2100;Bom Conselho;48975
MG;31;7406;Bom Despacho;51436
MA;21;2002;Bom Jardim;42010
PE;26;2209;Bom Jardim;40038
RJ;33;506;Bom Jardim;27779
SC;42;2503;Bom Jardim da Serra;4801
GO;52;3401;Bom Jardim de Goiás;8912
MG;31;7505;Bom Jardim de Minas;6444
PB;25;2201;Bom Jesus;2588
PI;22;1903;Bom Jesus;25584
RN;24;1701;Bom Jesus;10323
RS;43;2303;Bom Jesus;11270
SC;42;2537;Bom Jesus;3104
BA;29;3904;Bom Jesus da Lapa;70151
MG;31;7604;Bom Jesus da Penha;4270
BA;29;3953;Bom Jesus da Serra;9768
MA;21;2036;Bom Jesus das Selvas;35095
GO;52;3500;Bom Jesus de Goiás;26069
MG;31;7703;Bom Jesus do Amparo;6182
MT;51;1852;Bom Jesus do Araguaia;6830
MG;31;7802;Bom Jesus do Galho;14792
RJ;33;605;Bom Jesus do Itabapoana;37306
ES;32;1100;Bom Jesus do Norte;9988
SC;42;2578;Bom Jesus do Oeste;2136
PR;41;3156;Bom Jesus do Sul;3472
PA;15;1576;Bom Jesus do Tocantins;17254
TO;17;3305;Bom Jesus do Tocantins;5120
SP;35;7100;Bom Jesus dos Perdões;26506
MA;21;2077;Bom Lugar;16578
RS;43;2352;Bom Princípio;14446
PI;22;1919;Bom Princípio do Piauí;5670
RS;43;2378;Bom Progresso;1858
MG;31;7901;Bom Repouso;10527
SC;42;2602;Bom Retiro;10153
RS;43;2402;Bom Retiro do Sul;12448
MG;31;8008;Bom Sucesso;17612
PB;25;2300;Bom Sucesso;4937
PR;41;3206;Bom Sucesso;7103
SP;35;7159;Bom Sucesso de Itararé;4013
PR;41;3222;Bom Sucesso do Sul;3244
SC;42;2453;Bombinhas;20889
MG;31;8107;Bonfim;6852
RR;14;159;Bonfim;12701
PI;22;1929;Bonfim do Piauí;5700
GO;52;3559;Bonfinópolis;10120
MG;31;8206;Bonfinópolis de Minas;5397
BA;29;4001;Boninal;14518
BA;29;4050;Bonito;16999
MS;50;2209;Bonito;22401
PA;15;1600;Bonito;16769
PE;26;2308;Bonito;38101
MG;31;8255;Bonito de Minas;11502
PB;25;2409;Bonito de Santa Fé;12126
GO;52;3575;Bonópolis;4579
PB;25;2508;Boqueirão;17934
RS;43;2451;Boqueirão do Leão;7691
PI;22;1945;Boqueirão do Piauí;6443
SE;28;670;Boquim;26980
BA;29;4100;Boquira;21486
SP;35;7209;Borá;839
SP;35;7308;Boracéia;4913
AM;13;805;Borba;42328
PB;25;2706;Borborema;5311
SP;35;7407;Borborema;16278
MG;31;8305;Borda da Mata;19809
SP;35;7456;Borebi;2713
PR;41;3305;Borrazópolis;6290
RS;43;2501;Bossoroca;6135
MG;31;8404;Botelhos;14927
SP;35;7506;Botucatu;149718
MG;31;8503;Botumirim;6259
BA;29;4209;Botuporã;10050
SC;42;2701;Botuverá;5396
RS;43;2584;Bozano;2099
SC;42;2800;Braço do Norte;34294
SC;42;2859;Braço do Trombudo;3794
RS;43;2600;Braga;3271
PA;15;1709;Bragança;130122
SP;35;7605;Bragança Paulista;172346
PR;41;3354;Braganey;5338
AL;27;1100;Branquinha;10426
MG;31;8701;Brás Pires;4255
PA;15;1725;Brasil Novo;14883
MS;50;2308;Brasilândia;11835
MG;31;8552;Brasilândia de Minas;16950
PR;41;3370;Brasilândia do Sul;2521
TO;17;3602;Brasilândia do Tocantins;2221
AC;12;104;Brasiléia;27123
PI;22;1960;Brasileira;8364
DF;53;108;Brasília;3094325
MG;31;8602;Brasília de Minas;32460
MT;51;1902;Brasnorte;20571
SP;35;7704;Braúna;5795
MG;31;8800;Braúnas;4737
GO;52;3609;Brazabrantes;3812
MG;31;8909;Brazópolis;14364
PE;26;2407;Brejão;8981
ES;32;1159;Brejetuba;12450
PE;26;2506;Brejinho;7489
